yr,mfr,mfr name,bidx,vid,cfg,carline,car/truck,cid,police,rhp,ec1,ec2,ec3,ec4,ec5,evc,trns,drv,od,etw,cmp,axle,n/v,a/c,dhp,sil,prc,prp,tnum,fuel,C/H,avcd,wt,hc,co,co2,nox,pm,mpg,target-a,target-b,target-c,set-a,set-b,set-c,engine code,eng family,vpc,cstdwn
2009,20,Chrysler LLC,1,L8JCD8152,0,JOURNEY 2WD,T,215,N,235,,,,,,102,L6,F,2,4500,10,2.24,28.7,Y,,1,3,31,1083480,61,H,,,0.023,0.4,275,,,32.2,37.74,0.6338,0.02404,13.53,0.1037,0.02585,FA-100,9CRXJ04.0TN0,6,16.12
2009,20,Chrysler LLC,1,L8JCD8152,0,JOURNEY 2WD,T,215,N,235,,,,,,102,L6,F,2,4500,10,2.24,28.7,Y,,1,21,31,1083479,61,C,,,0.064,1.07,459,0,,19.3,37.74,0.6338,0.02404,13.53,0.1037,0.02585,FA-100,9CRXJ04.0TN0,6,16.12
2009,20,Chrysler LLC,3,L8JCD8152,1,JOURNEY 4WD,T,215,N,235,,,,,,102,L6,4,2,4500,10,2.24,28.7,Y,,1,3,32,1086540,61,H,,,,,,,,29.9,37.74,0.6338,0.02404,13.53,0.1037,0.02585,FA-200,9CRXJ04.0TN0,6,16.12
2009,20,Chrysler LLC,3,L8JCD8152,1,JOURNEY 4WD,T,215,N,235,,,,,,102,L6,4,2,4500,10,2.24,28.7,Y,,1,21,32,1086539,61,C,,,,,,,,18.4,37.74,0.6338,0.02404,13.53,0.1037,0.02585,FA-200,9CRXJ04.0TN0,6,16.12
2009,20,Chrysler LLC,4,L7JSC0243,2,JOURNEY 2WD,T,144,N,173,,,,,,102,L4,F,2,4000,10.5,2.95,36,Y,,1,3,32,1083587,61,H,,,,,,,,35,27.99,0.5576,0.02097,10.83,0.1288,0.01811,AA-100,9CRXV02.4UP0,4,17.45
2009,20,Chrysler LLC,4,L7JSC0243,2,JOURNEY 2WD,T,144,N,173,,,,,,102,L4,F,2,4000,10.5,2.95,36,Y,,1,21,32,1083586,61,C,,,,,,,,23.8,27.99,0.5576,0.02097,10.83,0.1288,0.01811,AA-100,9CRXV02.4UP0,4,17.45
2009,20,Chrysler LLC,201,L4PTC0806,0,PT CRUISER,T,148,N,220,,,,,,102,L4,F,2,3625,9.5,2.69,37.3,Y,,1,3,31,1051401,61,H,,,0.002,0.03,260,,,34.1,37.04,0.377,0.0218,1.36,0.085,0.0236,FA-400,9CRXV02.41P0,4,15.56
2009,20,Chrysler LLC,201,L4PTC0806,0,PT CRUISER,T,148,N,220,,,,,,102,L4,F,2,3625,9.5,2.69,37.3,Y,,1,21,31,1051400,61,C,,,0.049,0.5,384,0.03,,23,37.04,0.377,0.0218,1.36,0.085,0.0236,FA-400,9CRXV02.41P0,4,15.56
2009,20,Chrysler LLC,202,L4PTC0810,0,PT CRUISER,T,148,N,220,,,,,,102,L4,F,2,3625,9.5,2.69,37.7,Y,,1,3,31,1051399,61,H,,,0.001,0.07,260,,,34.1,35.27,0.377,0.0218,2.6,0.257,0.0209,FA-200,9CRXV02.42P1,4,15.49
2009,20,Chrysler LLC,202,L4PTC0810,0,PT CRUISER,T,148,N,220,,,,,,102,L4,F,2,3625,9.5,2.69,37.7,Y,,1,21,31,1051398,61,C,,,0.037,0.27,374,0.02,,23.7,35.27,0.377,0.0218,2.6,0.257,0.0209,FA-200,9CRXV02.42P1,4,15.49
